row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,230809_B0.mzML Peak area,230823_B0.mzML Peak area,230809_B6.mzML Peak area,230809_B3.mzML Peak area,230809_B2.mzML Peak area,230809_B4.mzML Peak area,230809_B5.mzML Peak area,230823_B4.mzML Peak area,230905_B0.mzML Peak area,230905_B1.mzML Peak area,230823_B1.mzML Peak area,230823_B6.mzML Peak area,230905_B3.mzML Peak area,230905_B2.mzML Peak area,230823_B2.mzML Peak area,230905_B6.mzML Peak area,230926_B2.mzML Peak area,230926_B4.mzML Peak area,230905_B5.mzML Peak area,230926_B0.mzML Peak area,231010_B0.mzML Peak area,230905_B4.mzML Peak area,240507_B0.mzML Peak area,230823_B3.mzML Peak area,230809_B1.mzML Peak area,230926_B5.mzML Peak area,231010_B1.mzML Peak area,230926_B1.mzML Peak area,230823_B5.mzML Peak area,231010_B2.mzML Peak area,230926_B6.mzML Peak area,231010_B3.mzML Peak area,231010_B5.mzML Peak area,Blank_restart_1.mzML Peak area,240901_B1.mzML Peak area,231010_B6.mzML Peak area,240417_B2.mzML Peak area,Blank1.mzML Peak area,Blank2.mzML Peak area,240417_B0.mzML Peak area,Blank4_before_neg.mzML Peak area,Blank3.mzML Peak area,230926_B3.mzML Peak area,240417_B5.mzML Peak area,240507_B3.mzML Peak area,240417_B4.mzML Peak area,Culture_Remin_E.mzML Peak area,231010_B4.mzML Peak area,240616_B1.mzML Peak area,Culture_Remin_F.mzML Peak area,240417_B6.mzML Peak area,240507_B1.mzML Peak area,240417_B3.mzML Peak area,QC_mix2.mzML Peak area,Culture_Remin_D.mzML Peak area,Process_Blank_1.mzML Peak area,QC_mix_restart_1.mzML Peak area,Process_Blank_3.mzML Peak area,QC_mix3.mzML Peak area,QC_mix_1.mzML Peak area,QC_mix5.mzML Peak area,QC_mix4.mzML Peak area,Process_Blank_2.mzML Peak area,240616_B5.mzML Peak area,240616_B3.mzML Peak area,240616_B0.mzML Peak area,240507_B5.mzML Peak area,240417_B1.mzML Peak area,240616_B2.mzML Peak area,240616_B6.mzML Peak area,Chance_pooled_QC_2.mzML Peak area,Chance_pooled_QC_1.mzML Peak area,Chance_pooled_QC_4.mzML Peak area,Chance_pooled_QC_restart_1.mzML Peak area,240616_B4.mzML Peak area,Chance_pooled_QC_3.mzML Peak area
33,307.8911776,0.5394286,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321.0383,0,2967.1465,0,0,0,0,0,23377.824,0,0,23197.38,0,0,0,8447.344,11725.268,3252.9502,8093.5786,10093.284,19317.81,28377.986,47852.613,32122.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,318.9356643,0.5345438,,,,,,,,,,,229194.67,142117.78,198746.78,158834.47,124894.81,243656.7,260225.86,89998.45,274167.25,61712.582,120769.48,72777.69,88240.04,54359.188,89446.66,212548.11,163945.62,92427.12,63920.965,228665.42,92378.45,40322.047,103426.414,84748.21,113643.336,108515.32,25767.639,75184.44,74805.23,101966.02,85964.09,211834.77,172168.23,0,0,206410.86,97073.28,0,0,15708.896,0,0,116181.984,38459.473,42328.918,168098.11,114162.63,196677.42,171831.19,92303.5,336024.03,201508.84,207081.27,0,114244.02,2727.3562,0,0,0,0,7355.6206,0,0,211517.44,165110.16,161185.61,132908.97,126180.86,178617.94,237728.2,174481.22,117602.39,173687.17,86172.16,177823.72,160984.83
63,334.9130256,0.536965,,,,,,,,,,,213589.11,161396.03,259491.77,232871.56,307140.2,267936.53,245886.88,115907.97,363036.62,218758.64,184707.94,49107.75,155517.64,155043.61,82517.49,352685.7,179359.05,47505.273,115041.484,202037.94,78436.86,131402.36,131963.36,118073.55,98709.5,118673.8,74359.56,205055.69,65436.09,146949.16,96315.83,203404.47,166640.14,0,0,114917.516,110199.13,0,0,38465.215,0,0,106026.69,86286.86,56344.53,136017.92,24775.467,110777.26,128043.37,12309.907,219115.67,155314.81,201218.67,3324.883,33152.56,8350.116,0,0,8688.4795,54620.164,140640.42,43060.43,0,122759.64,87287.24,105277.75,76254.66,87008.05,94185.32,119734.03,162772.16,138763.4,129937.82,86293.914,112513.93,187231.28
83,272.9429927,0.53922176,,,,,,,,,,,1367030,1043774.9,994115.7,950635.06,802805.4,1017557.94,1214995.2,566866.7,1225806.4,641830.75,724544.2,495059.16,594752.56,491149.62,714227.3,993306.9,844955.7,626606.7,498067.7,1382778.5,637164.56,365031.78,720108.3,657382.5,1038341.7,722513.4,297743.66,622190.1,578231.6,596384.44,596531.1,960868.2,729381.2,0,0,832925.06,670223.75,0,0,248814.84,0,0,856912.3,386423.97,399815.78,939580.9,547850.5,656520.25,1306150.4,478231.66,1405681.1,1133025.8,1066727,0,544222.9,195371.6,3058.8477,52105.91,2342.1416,6092.584,20753.15,5626.3438,86399.2,1217975.5,1311447,1033085.9,753457,862018.75,1361352.1,1406647.9,1010737.5,856952.25,1092480.6,700149.94,1278983.2,957731.7
115,425.2867984,0.5411165,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52238.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,631.1132472,0.5411165,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,340.9298854,0.5412663,,,,,,,,,,,588398,496142.06,454831.44,447961.2,333299.56,438064.47,532831.25,212400.27,528657.9,303661.5,314399.28,221270.03,240732.23,203776.44,313394.25,421150.44,364454.5,286009.53,228265.14,612753.4,270699.47,155245.34,307121.56,302678.22,448998.8,335471.6,126721.21,285963.8,252600.47,263680.94,261940.7,451055.66,322539.7,0,0,363439.5,306507.16,0,0,108745.74,0,0,380145.44,156899.39,187869.22,427617.7,237391.45,245194.08,600188.25,215976.73,661590.1,517619.78,482880.06,0,222724.34,67403.57,0,23191.977,0,0,5488.831,0,39454.51,557325.94,620956.9,504854.06,299728.4,370178,692725.1,690638.06,444547,352871.4,447122.62,361819.56,572424.5,436162.47
234,246.0934213,0.5613748,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840.239,0,0,0,0,0,4918.3447,0,0,0,0,0,0,4686.5786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613125.75,0,0,1062131.1,0,0,0,0,633384.4,0,0,0,0,0,0,0,0,0,4626.8516,0,0,0,0,4068.3247,0,0,0,5478.711,0,4759.3384
268,408.9168868,0.5421237,,,,,,,,,,,921860.7,775907.75,663096.06,613892.5,463679.6,670879.6,813738.4,304969.03,736747.3,374843.06,451846.84,306966.7,345310.3,285648.94,450723.56,584147.8,501150.56,380742.84,315396.44,917095.4,398289.25,255716.34,467731.8,454651.72,743401.9,473974.1,181928.75,411710.22,396600.88,396747.88,375279.56,651045.7,445900.34,0,0,515472.72,455261.2,0,0,160422.92,0,0,558707.25,240619.8,277108.3,634248.6,363356.25,331020.06,886252.1,337697.3,934603.44,737372.4,690454.06,0,329760.66,140439.67,0,42266.65,0,2302.4023,6202.3516,0,60066.94,824404.2,864884.2,708607.44,486952.1,558916.5,1009319.9,1006287.1,656753.56,547654.3,690888.1,541017.6,892929.56,641339.25
273,220.9333996,0.5427073,,,,,,,,,,,413198.12,359846.5,379189.66,420528.72,423933.3,397317.6,335642.66,195988.16,516807.66,429888.53,308468.78,201828.23,300294.22,311206.62,224929.4,554228.4,470084.28,241680.22,252343.72,398047.56,273256.16,311737.44,212721.34,229411.89,207593.44,199779.03,179716.4,475066.88,179665.77,238181.8,316377.03,322440.12,187151.98,0,0,271979.03,255893.92,0,0,133934.45,0,0,264203.16,178655.4,127924.445,271561.9,44730.047,101742.99,194955.97,22076.488,357122.72,298910.4,306444.8,0,45399.426,76023.53,0,95021.75,0,6689.7285,0,0,103752.305,249046.81,277109.06,191743.31,198225.11,237676.94,133249.61,302750.75,183177.22,250239.7,334639.78,237926.22,252775.45,327820.62
275,288.9205598,0.5440184,,,,,,,,,,,1694698.5,1527305.2,1419417.8,1571261.1,1633254.5,1404969.1,1328292,691844.4,1991691.2,1604802.6,1109304.1,739685.2,1136081.9,1218229,901905.9,2021454.4,1751448.8,861773.1,963443.5,1575148.2,978019.2,1194051,804500.25,940766.25,1100779.6,836787.75,643025.94,1788208.6,754047.94,874929.44,1086124.4,1290545,743064.06,0,0,994573.6,1019252.8,0,0,508327.53,0,0,1022516.6,712097.75,513201.5,998624.3,115444.734,383411.4,1115631,59333.195,1344396.1,1191266,1152571.6,0,132364.81,614701.3,4360,380681.06,0,4655.7363,0,2357.7463,437375.1,1108120.5,1123972,826486.6,820817.75,926500.9,1110098.4,1252324.1,1302351,1088528,1424795.2,930007.1,1088761.5,1336404.8
281,185.9828297,0.54338723,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31405.455,0,0,6437.2764,27655.707,0,48972.387,24905.527,0,0,0,0,0,0,0,2200.6667,0,0,0,188439.92,0,0,166035.11,0,290195.9,449035,581068.56,333623.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,537.3926518,0.54687524,,,,,,,,,,,0,75414.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19417.273,0,5597.996,34304.348,0,0,0,0,0,0,0,0,0,0,0,86146.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107812.74,0,348373.6,0,91027.8,0,59634.53,0,0,37700.562,0,0,0,0,0,0,0,0,679387.6,0,0,0,0
453,680.8651459,0.5453736,,,,,,,,,,,768576.75,699872.9,555554.7,495940.25,381744.94,475732.9,749851.56,256482.38,613275.8,323798.62,361181.1,265860.8,313407.3,217435.6,440824.84,470311.62,422262.66,353098.44,294370.44,790274.3,315096.97,214304.95,470589.28,406478.47,793347.9,444800.3,149490.61,312141.78,354027.88,302220.75,331055.75,504954.9,363975.7,0,0,437586.4,435845.34,0,0,153164.64,0,0,486933.78,206826.97,240109.7,621307.2,293082.8,225030.22,937565.5,310647.22,751598.06,639824.4,586698.3,0,328579,197768.12,0,47164.117,0,0,0,0,70608.86,862859.75,900485.75,667185.94,406826.97,507317.88,947730.4,994299.44,600378.1,545185.8,621041.9,533853.75,904338.1,607481
455,350.8907877,0.5461039,,,,,,,,,,,87273.66,55269.12,43810.914,112379.125,185303.22,98862.22,37541.59,32753.016,165024.77,63396.203,56873.734,46090.812,80001.95,86487.195,24996.014,201014.31,198698.06,65000.586,41524.03,39905.83,52543.047,116196.75,27270.344,24955.168,27318.018,17581.217,42514.895,165046.27,11465.1,61416.508,96077.56,72722.09,25266.75,0,0,68589.12,34956.555,0,0,6461.3057,0,0,41626.06,34267.438,11329.218,41310.492,6651.702,4209.0063,13951.311,0,32412.865,33569.336,29017.816,0,6510.4863,2431.9395,0,9561.027,0,0,0,0,0,23918.027,15446.1875,16082.348,21488.86,13627.711,14760.914,12180.827,33824.285,27743.984,43401.184,20831.676,15412.946,29965.016
458,748.852221,0.5456036,,,,,,,,,,,810005.9,770266.75,568177.5,503976.66,391557.97,484945.56,728881.44,271064.44,598337.8,337516.6,387001.8,275294.25,321451.78,229196.4,497026.66,466527.56,428380.4,359716,302788.84,845189.4,337943.5,234882.06,473004.66,453171.6,878309.3,473441,154491.52,328297.78,418456.4,319547.28,342974.75,534063.06,385893.28,0,0,419870.12,459443.66,0,0,160827.55,0,0,514895.97,225265.4,251150.66,623179.56,320883.38,216643.88,1027326.25,310302.6,810444.7,679198.94,605754.7,0,352891.4,193720.56,0,50971.117,0,0,0,0,81830.96,958716.75,921103.4,774417.3,405822.34,544210.2,1036191.6,1092714.1,624036.8,564910.6,635596.1,597493.7,954549.3,633161.4
479,249.1562588,0.54704297,,,,,,,,,,,202502.12,21167.375,282199.56,142723.97,212003.89,180811.89,311618.56,112340.09,188016.98,141889.44,115453.34,171244.31,87237.08,210870.42,172997.25,175152.19,162236.11,220633.6,58424.484,334705.28,175611.03,114990.92,47289.11,111710.86,111069.6,22783.592,551953.6,446220.22,116853,192644.52,242331.77,175557.34,49042.547,11462.299,72553.195,86203.41,161851.55,12373.399,45145.27,112229.21,50095.64,69984.07,460949.4,83377.555,110797.8,113915.92,162420.02,78163.055,245557.73,154635.12,208555.28,85770.305,199918.89,4053.4688,196401.45,39193.695,5064.9927,43869.098,19931.56,0,36179.863,68189.17,33770.867,120948.53,194057.31,220987.95,127580.28,93402.74,333613,263295.84,146930.12,15380.703,106658.72,3417.4338,291251.28,454579.25
486,816.8392328,0.54626215,,,,,,,,,,,785126.1,771402.25,534608.1,494287.94,335449.2,464612.66,780261.56,245320.23,598749.94,301905.4,364667.06,272548.5,334250.2,204725.81,501014.56,443976.06,404795.12,342196.06,279478.5,826662.06,323575.12,196415.48,463608.2,391939.22,924722.25,483963.1,151931.53,334921.06,374086.94,289712.1,334589.34,543173.06,349534.4,0,0,402150.97,474944.75,0,0,164961.67,0,0,528540.6,227711.7,225914.25,632147.6,317849.44,200137.47,1053238.6,286699.6,777408.75,697644.5,574025.5,0,352256.8,221125.03,0,62816.293,0,0,0,0,82733.48,887483.06,952675.6,816195.5,423884.38,538426.9,1062668.9,1097927.2,622024.06,557954.06,606785.75,582107.1,945008.75,619746.2
526,424.8944774,0.54747915,,,,,,,,,,,609223.56,589200.6,514787.56,577584.06,572210.25,469481.72,480962.06,233757.03,704394.6,539721.1,390229.44,252388.97,412742.28,420748.78,322175.6,673231.25,603734.6,303841.53,327719.78,619140.9,335411.3,432587.16,296529.1,294157.8,517689.62,299750.28,223437.34,647063.4,270076.88,296382.5,378109.44,482744.2,245451.1,0,0,327602.25,378150.12,0,0,185088.77,0,0,387022.75,238038.31,188388,357267.56,34317.69,103754.89,463240.4,15718.094,521823.7,427584.34,381713,0,33883.402,271838.16,0,142085.98,0,0,0,0,187300.78,417732.16,449997.34,336119.3,280525.28,305851.75,466451.5,530047,501854.8,409771.78,542318,345014.5,446098.53,485050.03
575,184.9849685,0.5586186,,,,,,,,,,,23260.275,5929.3013,0,0,0,10755.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30811.926,9162.94,0,0,35271.926,0,0,0,0,0,47358.312,42538.055,0,0,49149.637,46638.027,0,50843.535,35995.887,0,0,0,0,17347.889,0,0,11217.157,0,0,0,122574.71,0,0,131247.6,28557.39,156764.53,234451.08,324302.84,186347.25,21244.852,0,0,0,0,0,0,0,0,0,0,0,0,0
609,278.8962028,0.5516546,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19576.004,0,0,17287.133,0,22409.512,9056.042,40479.05,26716.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,157.9879823,0.5510688,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5337.9287,0,0,0,0,0,0,0,0,0,0,0,0,57878.625,0,0,56809.086,0,89935.11,149856.8,175253.02,96326.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,696.8423091,0.5507204,,,,,,,,,,,540138.4,552698,460547.06,513331.47,414375.75,375091.4,461135.72,177236.75,603504.7,439742.8,341438.47,222139.31,348396.53,345674.7,311767.56,568448.75,534226.06,283016.28,291394.62,559379.8,261401.53,363440.06,305707.38,319548.03,529430.4,307741.88,184840.84,517169.12,263825.8,210992.61,331874.47,475591.72,204057.67,0,0,314561.7,362391.94,0,0,166458.47,0,0,346614.12,216760.34,170916.11,354865.7,32169.729,88653.45,443226.4,5386.17,433425.97,385056.53,374436.97,0,37249.97,260908.64,0,142536.78,0,0,0,0,184292.38,419809.5,466436.78,359173.56,245083.06,325890.7,458064.22,514992.56,475169.06,392241.5,506506.2,377527.75,410337.06,470867.56
689,226.9503552,0.5499073,,,,,,,,,,,5575583.5,9171733,3892418.8,4062384,2683240.8,3351994,4720441,2034278.6,4640858.5,2890392.8,2627067.5,2104879.8,2980796,2510966.8,3653791.2,3407027.2,3149399.2,2581989.5,3320757.5,5836137,2324784.8,2282697.8,3566101,3543983.8,1.18E+07,3930329.5,1543746.2,3671047.5,3104067.8,1973470.4,2632409.5,4552757.5,2284220.8,0,4749.7744,2667207.8,3792300.2,2299.2634,32678.105,1646435.6,38036.37,4796.0635,3581079,2374454.5,2252500.8,4197977.5,1757412.8,1085080.2,7739982.5,1712105,5287898.5,4753254,3832276.5,7806.9756,1770110.6,7764452.5,21726.367,2630060,4930.255,29373.094,30572.506,24562.334,3284614.5,8241128,8269707,7932749,2797947.2,3777354.2,8132763,8569624,4884739,5139817,4862613.5,5150882,7414849.5,5047903
715,764.8293318,0.55201256,,,,,,,,,,,548699.2,608041.44,483638.72,533093.94,402042.62,390987.06,481390.5,191040.66,629397.56,428150.06,332365.47,226624.22,361646.25,309670.7,320131.75,602219.75,528205.6,286480,314171.1,577336.9,289250.22,370666.7,313696.44,319706.1,529736.56,324359.1,150498.28,518956.6,270956.25,231270.88,353598.53,452192.16,205650.61,0,0,318550.22,390149.75,0,0,179320.25,0,0,364337.5,218122.31,163584.5,368916.56,33737.324,81432.96,513326.3,13809.318,488199.8,413232.78,394429.53,0,36076.63,282297.72,0,153231.64,0,0,0,0,193859.06,425798.2,481506.8,360024.88,252938.28,320646.2,488337.44,493483.12,470330.78,407082.2,552048.8,386891.78,443371.47,504059.28
718,362.9242907,0.5517565,,,,,,,,,,,1225716.5,2249249.5,820161.25,874658.5,515667,657863.25,1069021.4,359127.06,966353.25,539835.1,542592.06,409560.5,620028.6,501695.44,800965.94,685813.9,623874.44,528012.8,702177.3,1324954.4,429462.22,426501.5,771040.44,753243.25,3129284.8,869682.75,249528.94,772584.06,682043.94,357704.25,544053.9,1046634.25,457917.38,0,0,537638.1,800019.44,0,2373.8486,331786.7,2213.5967,0,777054.2,479656.66,447736.56,922340,310782.28,190367.22,1868475.2,322962.38,1222439,1008198.5,828990.8,0,349705.56,1981224.1,0,561072.56,0,0,0,0,723952.06,1988531.2,1932065.1,1961133.9,525825.4,806935,1846394.5,2072518,1105556.1,1227697.4,1060475.5,1317336.2,1827414.5,1097138.1
729,205.1356791,0.55308217,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139503.48,0,0,0,0,0,0,200317.02,0,0,203236.64,0,0,111109.984,0,0,0,74767.22,0,0,0,27605.686,45675.72,94222.65,0,96544.33,0,0,24629.695,122161.36,93268.95,0,0,0,0,0,0,0,0,0,0,0,0,0,68270.27,138450.19,0,0,0,0,0,0,0,0
