formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C5H11NO7S2,[M + K]+,C5H11KNO7S2+,Amino acids and Peptides,0.998,Small peptides,0.998,Aminoacids,0.997,Organic acids and derivatives,1,Carboxylic acids and derivatives,0.995,"Amino acids, peptides, and analogues",0.967,Amino acids and derivatives,0.966,Alpha amino acids,0.908,"Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic thiosulfuric acids and derivatives; Alpha amino acids; Amines; Primary amines; S-alkyl thiosulfates; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",299.963,32,0.537,7.34233E+17,7.3423E+17,24,
1,C7H5IN2O2,[M + H]+,C7H6IN2O2+,Alkaloids,0.468,Pseudoalkaloids (transamidation),0.095,Halogenated fatty acids,0.071,Organohalogen compounds,0.995,Aryl halides,0.573,Aryl iodides,0.883,,,Aryl iodides,0.883,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl iodides; Monocarboxylic acids and derivatives; Diazines; Organoiodides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,276.947,32,0.537,7.34233E+17,7.3423E+17,26,
1,C5H8BrClNO3PS,[M + H]+,C5H9BrClNO3PS+,Fatty acids,0.502,Fatty Acids and Conjugates,0.073,Halogenated fatty acids,0.569,Organohalogen compounds,0.972,Vinyl halides,0.52,,,,,Vinyl halides,0.52,Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Alkyl bromides; Organobromides; Organochlorides; Alkyl halides; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,307.892,32,0.537,7.34233E+17,7.3423E+17,33,
1,C4H4FN2O3,[M + K]+,C4H4FKN2O3+,Alkaloids,0.813,Nicotinic acid alkaloids,0.12,Pyridine alkaloids,0.122,Organoheterocyclic compounds,0.992,Diazines,0.811,Pyrimidines and pyrimidine derivatives,0.767,Halopyrimidines,0.509,Halopyrimidines,0.509,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aryl fluorides; Diazines; Organofluorides; Halopyrimidines; Hydropyrimidines; Aryl halides; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,185.983,32,0.537,7.34233E+17,7.3423E+17,281,
1,C7H6O7P2S2,[M + Na]+,C7H6NaO7P2S2+,Shikimates and Phenylpropanoids,0.343,Tropolones,0.252,Simple coumarins,0.079,Organoheterocyclic compounds,0.521,,,,,,,Organoheterocyclic compounds,0.521,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,350.891,32,0.537,7.34233E+17,7.3423E+17,455,
1,C5H5ClNO3,[M + Na]+,C5H5ClNNaO3+,Fatty acids,0.673,Fatty Acids and Conjugates,0.225,Halogenated fatty acids,0.643,Organic acids and derivatives,0.827,Carboxylic acids and derivatives,0.695,,,,,Carboxylic acids and derivatives,0.695,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organochlorides; Carbonyl compounds; Vinyl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,184.985,32,0.537,7.34233E+17,7.3423E+17,575,
1,C10H5N2O2PS3,[M + Na]+,C10H5N2NaO2PS3+,Alkaloids,0.27,Tropolones,0.171,Oxygenated hydrocarbons,0.246,Organoheterocyclic compounds,0.987,Azoles,0.745,,,,,Azoles,0.745,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Dithioles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,334.913,32,0.541,7.34233E+17,7.3423E+17,63,
1,C16H48O8Si8,[M + K]+,C16H48KO8Si8+,Carbohydrates,0.371,Monoterpenoids,0.661,Iridoids monoterpenoids,0.542,Organic oxygen compounds,0.999,Organooxygen compounds,0.996,Carbohydrates and carbohydrate conjugates,0.749,Glycosyl compounds,0.539,O-glycosyl compounds,0.505,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organooxygen compounds; Organometallic compounds; Organometalloid compounds; Monosaccharides; Acetals; Secondary alcohols; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,631.113,32,0.541,7.34233E+17,7.3423E+17,126,
1,C7H5N2O8PS2,[M + H]+,C7H6N2O8PS2+,Shikimates and Phenylpropanoids,0.296,Nicotinic acid alkaloids,0.468,Pyridine alkaloids,0.469,Organoheterocyclic compounds,0.68,Heteroaromatic compounds,0.653,,,,,Heteroaromatic compounds,0.653,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,340.93,32,0.541,7.34233E+17,7.3423E+17,214,
1,C10H5F3N2O6S2,[M + K]+,C10H5F3KN2O6S2+,Alkaloids,0.194,Polycyclic aromatic polyketides,0.014,Simple coumarins,0.041,"Organic 1,3-dipolar compounds",0.731,"Allyl-type 1,3-dipolar organic compounds",0.717,Organic nitro compounds,0.747,C-nitro compounds,0.719,Nitroaromatic compounds,0.708,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Alkyl fluorides; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organofluorides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Halomethanes; Trihalomethanes; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",408.917,32,0.541,7.34233E+17,7.3423E+17,268,
1,C19H15Br2F3N4O6S,[M + K]+,C19H15Br2F3KN4O6S+,Alkaloids,0.214,β-lactams,0.009,Penicillins,0.005,Benzenoids,0.998,Benzene and substituted derivatives,0.986,Trifluoromethylbenzenes,0.751,,,Trifluoromethylbenzenes,0.751,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Nitrobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl bromides; Carboxylic acid derivatives; Bromobenzenes; Organic nitro compounds; Organic oxoazanium compounds; Organobromides; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Alkyl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities",680.865,32,0.541,7.34233E+17,7.3423E+17,453,
1,C19H22Br2Cl2N4O8S2,[M + Na]+,C19H22Br2Cl2N4NaO8S2+,Polyketides,0.283,Oligopeptides,0.375,Depsipeptides,0.215,Benzenoids,0.966,Benzene and substituted derivatives,0.974,Benzenesulfonamides,0.745,,,Benzenesulfonamides,0.745,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Benzenesulfonic acids and derivatives; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Aryl chlorides; Carboxylic acid derivatives; Bromobenzenes; Chlorobenzenes; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acid esters; Organobromides; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,748.852,32,0.541,7.34233E+17,7.3423E+17,458,
1,C15H23Cl2N2O17P3S4,[M + Na]+,C15H23Cl2N2NaO17P3S4+,Amino acids and Peptides,0.434,Amino acid glycosides,0.502,Depsipeptides,0.196,Organic acids and derivatives,0.906,Organic phosphoric acids and derivatives,0.508,Phosphate esters,0.5,Alkyl phosphates,0.63,Alkyl phosphates,0.63,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphoric acids and derivatives; Phosphate esters; Thioacetals; Organothiophosphorus compounds; Organochlorides; Secondary alcohols; Monothioacetals; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Alkyl phosphates; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,816.839,32,0.541,7.34233E+17,7.3423E+17,486,
1,C12H23FNOS,[M + H]+,C12H24FNOS+,Amino acids and Peptides,0.304,Monoterpenoids,0.207,Halogenated fatty acids,0.178,Organohalogen compounds,0.947,Organofluorides,0.847,,,,,Organofluorides,0.847,Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organofluorides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,249.157,33,0.546,7.34233E+17,7.3423E+17,479,
1,C9H18BNO2,[M + Na]+,C9H18BNNaO2+,Amino acids and Peptides,0.221,Small peptides,0.432,Aminoacids,0.44,Organic acids and derivatives,0.79,Borinic acid derivatives,0.535,,,,,Borinic acid derivatives,0.535,Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organometallic compounds; Organometalloid compounds; Amines; Organoboron compounds; Borinic acid derivatives; Organic salts; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,205.136,33,0.546,7.34233E+17,7.3423E+17,729,
1,C4H5BrN4O,[M + Na]+,C4H5BrN4NaO+,Alkaloids,0.794,Histidine alkaloids,0.478,Imidazole alkaloids,0.468,Organohalogen compounds,0.999,Aryl halides,0.968,Aryl bromides,0.981,,,Aryl bromides,0.981,Organic compounds; Organoheterocyclic compounds; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl bromides; Organobromides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,226.953,33,0.546,7.34233E+17,7.3423E+17,1322,
1,C2H5BrFN3O3,[M + H]+,C2H6BrFN3O3+,Fatty acids,0.817,Fatty Acids and Conjugates,0.8,Halogenated fatty acids,0.984,"Organic 1,3-dipolar compounds",0.601,"Allyl-type 1,3-dipolar organic compounds",0.708,Organic nitro compounds,0.754,C-nitro compounds,0.589,Fluorodinitromethyl compounds,0.608,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organic nitro compounds; Organic oxoazanium compounds; Organobromides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Fluorodinitromethyl compounds; Organic nitrogen compounds; Chemical entities",217.956,33,0.554,7.34233E+17,7.3423E+17,1679,
1,C10H16N2O4,[M + H]+,C10H17N2O4+,Amino acids and Peptides,0.7,Small peptides,0.285,Dipeptides,0.109,Organic oxygen compounds,1,Organooxygen compounds,0.999,Carbonyl compounds,0.778,Ketones,0.522,Ketones,0.522,Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,229.117,33,0.554,7.34233E+17,7.3423E+17,1465,
1,C5H4Cl2NO,[M + Na]+,C5H4Cl2NNaO+,Fatty acids,0.629,Fatty acyls,0.176,Halogenated fatty acids,0.71,Organohalogen compounds,0.939,Vinyl halides,0.516,,,,,Vinyl halides,0.516,Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organochlorides; Vinyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,186.956,33,0.555,7.34233E+17,7.3423E+17,1109,
1,C4H4N2O4S3,[M + K]+,C4H4KN2O4S3+,Alkaloids,0.335,Histidine alkaloids,0.117,Imidazole alkaloids,0.118,Organoheterocyclic compounds,0.914,Heteroaromatic compounds,0.754,,,,,Heteroaromatic compounds,0.754,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,278.896,33,0.555,7.34233E+17,7.3423E+17,609,
1,CH5FNO6PS2,[M + K]+,CH5FKNO6PS2+,Fatty acids,0.293,Fatty acyls,0.028,Polyamines,0.063,Organic acids and derivatives,0.999,Organic sulfonic acids and derivatives,0.967,Organosulfonic acids and derivatives,0.968,Organosulfonamides,0.795,Organosulfonamides,0.795,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organoarsenic compounds; Organometallic compounds; Sulfonyls; Organometalloid compounds; Organofluorides; Organosulfonamides; Aminosulfonyl compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Oxygen-containing organoarsenic compounds; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,279.894,33,0.555,7.34233E+17,7.3423E+17,849,
1,C6H14F2N2O,[M + H]+,C6H15F2N2O+,Alkaloids,0.452,Ornithine alkaloids,0.503,Polyamines,0.461,Organohalogen compounds,0.993,Alkyl halides,0.994,Alkyl fluorides,0.989,,,Alkyl fluorides,0.989,Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organofluorides; Amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,169.115,33,0.555,7.34233E+17,7.3423E+17,827,
1,C2H5Cl2N3O,[M + H]+,C2H6Cl2N3O+,Alkaloids,0.133,Histidine alkaloids,0.015,Halogenated fatty acids,0.07,Organoheterocyclic compounds,0.962,Azoles,0.94,Tetrazoles,0.776,,,Tetrazoles,0.776,Organic compounds; Organoheterocyclic compounds; Tetrazoles; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl chlorides; Organochlorides; Alkyl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,157.988,33,0.556,7.34233E+17,7.3423E+17,616,
1,C8H18N2O7,[M + H]+,C8H19N2O7+,Carbohydrates,0.995,Aminosugars and aminoglycosides,0.986,Aminosugars,0.99,Organic oxygen compounds,1,Organooxygen compounds,0.999,Carbohydrates and carbohydrate conjugates,0.928,Monosaccharides,0.903,Hexoses,0.697,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Hexoses; Monosaccharides; Secondary alcohols; 1,2-aminoalcohols; Polyols; Amines; Primary amines; Alkanolamines; Aminosaccharides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",255.118,33,0.556,7.34233E+17,7.3423E+17,762,
1,C6H18N4,[M + K]+,C6H18KN4+,Fatty acids,0.733,Fatty acyls,0.817,Acetate-derived alkaloids,0.725,Organic nitrogen compounds,0.997,Organonitrogen compounds,0.979,,,,,Organonitrogen compounds,0.979,Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities,185.115,33,0.556,7.34233E+17,7.3423E+17,1230,
1,C4H5N2O3PS2,[M + H]+,C4H6N2O3PS2+,Alkaloids,0.347,Pseudoalkaloids (transamidation),0.017,Purine alkaloids,0.021,Organic acids and derivatives,0.482,Organic dithiophosphoric acids and derivatives,0.698,Dithiophosphate S-esters,0.617,,,Dithiophosphate S-esters,0.617,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Azoles; Organothiophosphorus compounds; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,224.955,34,0.563,7.34233E+17,7.3423E+17,1175,
1,C8H14N2O3,[M + H]+,C8H15N2O3+,Alkaloids,0.879,Nicotinic acid alkaloids,0.95,Pyridine alkaloids,0.949,Organic oxygen compounds,1,Organooxygen compounds,0.998,Ethers,0.809,Alkyl aryl ethers,0.825,Alkyl aryl ethers,0.825,Organic compounds; Pyridines and derivatives; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Primary amines; Aromatic alcohols; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,187.107,34,0.563,7.34233E+17,7.3423E+17,1215,
1,C3H5N2O2PS2,[M + H]+,C3H6N2O2PS2+,Alkaloids,0.384,Nicotinic acid alkaloids,0.285,Pyridine alkaloids,0.285,Organoheterocyclic compounds,0.616,Heteroaromatic compounds,0.623,,,,,Heteroaromatic compounds,0.623,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Organooxygen compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,196.961,34,0.563,7.34233E+17,7.3423E+17,1281,
