formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality
1,C6H4N8O5S3,[M - H]-,C6H3N8O5S3-,Amino acids and Peptides,0.296,Histidine alkaloids,0.029,Purine alkaloids,0.051,Organoheterocyclic compounds,0.999,Azoles,0.996,Thiazoles,0.75,Nitrothiazoles,0.538,Nitrothiazoles,0.538,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Nitrothiazoles; Organonitrogen compounds; Azoles; Organic nitro compounds; Thioethers; Organic oxoazanium compounds; Sulfenyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities",362.942,32,0.541,7.35173E+17,7.35171E+17,46,
1,C11H8Cl2NO5PS2,[M - H]-,C11H7Cl2NO5PS2-,Amino acids and Peptides,0.741,Small peptides,0.434,Aminoacids,0.261,Benzenoids,0.998,Benzene and substituted derivatives,0.971,Halobenzenes,0.832,Chlorobenzenes,0.872,Dichlorobenzenes,0.81,Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,397.89,32,0.537,7.35173E+17,7.35171E+17,110,
1,C12H19AsN2O11P2S2,[M - H]-,C12H18AsN2O11P2S2-,Carbohydrates,0.539,Nucleosides,0.22,Pyrimidine nucleotides,0.051,Organic oxygen compounds,1,Organooxygen compounds,0.986,Carbohydrates and carbohydrate conjugates,0.93,Monosaccharides,0.923,Monosaccharides,0.923,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Organoarsenic compounds; Phosphate esters; Organometallic compounds; Organometalloid compounds; Monosaccharides; Secondary alcohols; Polyols; Alkyl phosphates; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Trivalent organic arsenic compounds; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Sulfur-containing organoarsenic compounds; Organoarsenic sulfides; Oxygen-containing organoarsenic compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,566.905,32,0.541,7.35173E+17,7.35171E+17,122,
1,C17H15Cl3N4O10S3,[M - H]-,C17H14Cl3N4O10S3-,Polyketides,0.206,Amino acid glycosides,0.01,Imidazole alkaloids,0.008,Benzenoids,0.999,Benzene and substituted derivatives,0.991,Benzenesulfonyl compounds,0.774,,,Benzenesulfonyl compounds,0.774,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Azoles; Aryl chlorides; Chlorobenzenes; Sulfonyls; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Dichlorobenzenes; Aryl halides; Sulfuric acid esters; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,634.893,32,0.537,7.35173E+17,7.35171E+17,150,
1,C2H2N4O11S,[M - H]-,C2HN4O11S-,Alkaloids,0.842,Histidine alkaloids,0.115,Imidazole alkaloids,0.113,Organic acids and derivatives,0.977,Organic sulfuric acids and derivatives,0.507,,,,,Organic sulfuric acids and derivatives,0.507,"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Organic nitro compounds; Sulfonyls; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",288.938,32,0.532,7.35173E+17,7.35171E+17,151,
1,C26H19Br3N4O5,[M - H]-,C26H18Br3N4O5-,Alkaloids,0.573,Histidine alkaloids,0.022,Imidazole alkaloids,0.021,Benzenoids,1,Benzene and substituted derivatives,0.999,Nitrobenzenes,0.637,,,Nitrobenzenes,0.637,"Organic compounds; Organoheterocyclic compounds; Halobenzenes; Nitrobenzenes; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl bromides; Bromobenzenes; Organic nitro compounds; Organic oxoazanium compounds; Organobromides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Methoxybenzenes; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",702.88,32,0.537,7.35173E+17,7.35171E+17,190,
1,C6H6O14P2S,[M - H]-,C6H5O14P2S-,Fatty acids,0.744,Fatty Acids and Conjugates,0.728,Simple phenolic acids,0.028,Organic acids and derivatives,1,Carboxylic acids and derivatives,0.988,Carboxylic acids,0.93,,,Carboxylic acids,0.93,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,394.891,32,0.541,7.35173E+17,7.35171E+17,523,
1,C5H5N6O11PS,[M - H]-,C5H4N6O11PS-,Carbohydrates,0.892,Histidine alkaloids,0.703,Imidazole alkaloids,0.702,Organoheterocyclic compounds,0.998,Azoles,0.687,Imidazoles,0.464,Substituted imidazoles,0.439,N-substituted imidazoles,0.503,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic sulfuric acids and derivatives; Azoles; N-substituted imidazoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,386.94,32,0.533,7.35173E+17,7.35171E+17,592,
1,C2H2N2O8,[M - H]-,C2HN2O8-,Alkaloids,0.098,Fatty Acids and Conjugates,0.09,Imidazole alkaloids,0.057,Organoheterocyclic compounds,0.729,Heteroaromatic compounds,0.798,,,,,Heteroaromatic compounds,0.798,"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Organic cations; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",180.974,32,0.533,7.35173E+17,7.35171E+17,628,
1,C10H11IN4O11S,[M - H]-,C10H10IN4O11S-,Carbohydrates,0.961,Nucleosides,0.926,Pyrimidine nucleosides,0.529,Organic oxygen compounds,1,Organooxygen compounds,0.999,Carbohydrates and carbohydrate conjugates,0.987,Glycosyl compounds,0.968,Glycosylamines,0.919,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Sulfonylureas; Sulfonyls; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Tetrahydrofurans; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,520.912,34,0.57,7.35173E+17,7.35171E+17,803,
1,C18H10F7IN2O5S2,[M - H]-,C18H9F7IN2O5S2-,Shikimates and Phenylpropanoids,0.225,Flavonoids,0.022,Chalcones,0.052,Benzenoids,0.997,Phenol ethers,0.764,,,,,Phenol ethers,0.764,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Thiophenes; Ethers; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl iodides; Iodobenzenes; Sulfonyls; Organofluorides; Organoiodides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,656.888,34,0.562,7.35173E+17,7.35171E+17,833,
1,C5H5N4O6PS2,[M - H]-,C5H4N4O6PS2-,Alkaloids,0.412,Histidine alkaloids,0.389,Imidazole alkaloids,0.389,Organic acids and derivatives,0.974,Organic sulfonic acids and derivatives,0.654,Organosulfonic acids and derivatives,0.637,,,Organosulfonic acids and derivatives,0.637,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,310.932,32,0.537,7.35173E+17,7.35171E+17,837,
1,C25H28Br4N4O8,[M - H]-,C25H27Br4N4O8-,Alkaloids,0.242,Nucleosides,0.117,Polyamines,0.089,Organic oxygen compounds,1,Organooxygen compounds,1,Ethers,0.931,Diarylethers,0.588,Diarylethers,0.588,Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Anisoles; Lactams; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Aryl bromides; Carboxylic acid derivatives; Bromobenzenes; Diazines; Organobromides; Secondary carboxylic acid amides; Carbonyl compounds; Hydropyrimidines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Diarylethers; Aryl halides; Vinylogous amides; Organic oxides; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,826.857,34,0.57,7.35173E+17,7.35171E+17,858,
1,C29H16Br2Cl2N4O7,[M - H]-,C29H15Br2Cl2N4O7-,Shikimates and Phenylpropanoids,0.452,Coumarins,0.17,Pyrrole alkaloids,0.02,Benzenoids,1,Phenol ethers,0.58,,,,,Phenol ethers,0.58,Organic compounds; Organoheterocyclic compounds; Halobenzenes; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Aryl chlorides; Carboxylic acid derivatives; Bromobenzenes; Chlorobenzenes; Organobromides; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,758.869,32,0.541,7.35173E+17,7.35171E+17,867,
1,C16H19Cl7O8,[M - H]-,C16H18Cl7O8-,Polyketides,0.453,Aromatic polyketides,0.13,Depsides and depsidones,0.016,Organic oxygen compounds,1,Organooxygen compounds,1,Ethers,0.978,Acetals,0.915,Ketals,0.565,Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Organochlorides; Acetals; Secondary alcohols; Halohydrins; Chlorohydrins; Tetrahydrofurans; Alkyl halides; Oxacyclic compounds; Hydrocarbon derivatives; Ketals; Organic oxygen compounds; Chemical entities,582.883,33,0.554,7.35173E+17,7.35171E+17,886,
1,C8HFO4,[M - H]-,C8FO4-,Shikimates and Phenylpropanoids,0.814,Phenolic acids (C6-C1),0.792,Simple phenolic acids,0.792,Benzenoids,0.999,Benzene and substituted derivatives,0.826,Benzoic acids and derivatives,0.814,Phthalic acid and derivatives,0.621,Phthalic acid and derivatives,0.621,Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Phthalic acid and derivatives; Phthalic anhydrides; Carboxylic acids; Organofluorides; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; Vinyl halides; 1-carboxy-2-haloaromatic compounds; Halobenzoic acids and derivatives; Halobenzoic acids; 2-halobenzoic acids and derivatives; 3-halobenzoic acids and derivatives; 2-halobenzoic acids; 3-halobenzoic acids; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,178.979,35,0.579,7.35173E+17,7.35171E+17,955,
1,C25H16Br2Cl2N2O5,[M - H]-,C25H15Br2Cl2N2O5-,Shikimates and Phenylpropanoids,0.225,Coumarins,0.243,Simple coumarins,0.074,Benzenoids,1,Benzene and substituted derivatives,0.998,Benzoic acids and derivatives,0.742,,,Benzoic acids and derivatives,0.742,Organic compounds; Organoheterocyclic compounds; Halobenzenes; Alkyl aryl ethers; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid amides; Aryl bromides; Aryl chlorides; Carboxylic acid derivatives; Bromobenzenes; Chlorobenzenes; Organobromides; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities,650.87,33,0.554,7.35173E+17,7.35171E+17,1012,
1,C11H8Cl4N4O7,[M - H]-,C11H7Cl4N4O7-,Alkaloids,0.692,Proline alkaloids,0.154,Pyrrole alkaloids,0.154,Benzenoids,0.982,Phenol ethers,0.598,,,,,Phenol ethers,0.598,"Organic compounds; Organoheterocyclic compounds; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aryl chlorides; Organic nitro compounds; Organic oxoazanium compounds; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl halides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",446.907,33,0.554,7.35173E+17,7.35171E+17,1023,
1,C9H15IN2O9P2S,[M - H]-,C9H14IN2O9P2S-,Carbohydrates,0.987,Nucleosides,0.988,Pyrimidine nucleotides,0.257,Organoheterocyclic compounds,0.999,Diazines,0.962,Pyrimidines and pyrimidine derivatives,0.974,Halopyrimidines,0.575,Halopyrimidines,0.575,"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Aryl iodides; Diazines; Organoiodides; Secondary alcohols; Halopyrimidines; Hydropyrimidines; Tetrahydrofurans; Alkyl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",514.895,32,0.541,7.35173E+17,7.35171E+17,1030,
1,C7H13Cl5N2O5,[M - H]-,C7H12Cl5N2O5-,Amino acids and Peptides,0.173,Ornithine alkaloids,0.155,Aminoacids,0.116,Organic nitrogen compounds,1,Organonitrogen compounds,0.999,Nitrogen mustard compounds,0.586,,,Nitrogen mustard compounds,0.586,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Nitrogen mustard compounds; Alkyl chlorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,378.919,32,0.541,7.35173E+17,7.35171E+17,1034,
1,C19H31Br2Cl5O6S,[M - H]-,C19H30Br2Cl5O6S-,Polyketides,0.312,Aromatic polyketides,0.091,Simple aromatic polyketides,0.007,Benzenoids,0.99,Benzene and substituted derivatives,0.983,Halobenzenes,0.986,Chlorobenzenes,0.983,Dichlorobenzenes,0.89,Organic compounds; Organosulfur compounds; Halobenzenes; Alkyl aryl ethers; Ethers; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities,718.858,33,0.554,7.35173E+17,7.35171E+17,1039,
1,C4H6O8P2,[M - H]-,C4H5O8P2-,Carbohydrates,0.351,Polyols,0.15,Cyclitols,0.341,Organic acids and derivatives,1,Organic phosphoric acids and derivatives,0.999,Phosphate esters,0.998,Alkyl phosphates,0.741,Alkyl phosphates,0.741,Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,242.944,32,0.541,7.35173E+17,7.35171E+17,1057,
1,C9HFO5,[M - H]-,C9FO5-,Shikimates and Phenylpropanoids,0.878,Coumarins,0.503,Simple coumarins,0.417,Organoheterocyclic compounds,0.89,Benzopyrans,0.741,1-benzopyrans,0.602,,,1-benzopyrans,0.602,Organic compounds; Organoheterocyclic compounds; Benzopyrans; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl fluorides; Carboxylic acids; Organofluorides; Benzenoids; Fluorophenols; O-fluorophenols; Aryl halides; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,206.974,35,0.579,7.35173E+17,7.35171E+17,1341,
