row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,230823_NEG_B0.mzML Peak area,230809_NEG_B0.mzML Peak area,230809_NEG_B4.mzML Peak area,230809_NEG_B6.mzML Peak area,230809_NEG_B2.mzML Peak area,230809_NEG_B3.mzML Peak area,230809_NEG_B5.mzML Peak area,230809_NEG_B1.mzML Peak area,230905_NEG_B0.mzML Peak area,230905_NEG_B1.mzML Peak area,230823_NEG_B6.mzML Peak area,230823_NEG_B4.mzML Peak area,230823_NEG_B1.mzML Peak area,230823_NEG_B3.mzML Peak area,230823_NEG_B2.mzML Peak area,230905_NEG_B2.mzML Peak area,230905_NEG_B3.mzML Peak area,230926_NEG_B0.mzML Peak area,230926_NEG_B2.mzML Peak area,230905_NEG_B5.mzML Peak area,230905_NEG_B4.mzML Peak area,230905_NEG_B6.mzML Peak area,230926_NEG_B5.mzML Peak area,230926_NEG_B1.mzML Peak area,230823_NEG_B5.mzML Peak area,231010_NEG_B0.mzML Peak area,231010_NEG_B3.mzML Peak area,230926_NEG_B6.mzML Peak area,230926_NEG_B4.mzML Peak area,231010_NEG_B1.mzML Peak area,231010_NEG_B2.mzML Peak area,240901_NEG_B1.mzML Peak area,Blank_NEG_1.mzML Peak area,231010_NEG_B6.mzML Peak area,Blank_NEG_2.mzML Peak area,230926_NEG_B3.mzML Peak area,Blank_NEG_3.mzML Peak area,Blank_NEG_4.mzML Peak area,Culture_Remin_E_NEG.mzML Peak area,240417_NEG_B0.mzML Peak area,231010_NEG_B5.mzML Peak area,Culture_Remin_D_NEG.mzML Peak area,240507_NEG_B0.mzML Peak area,240417_NEG_B3.mzML Peak area,Culture_Remin_F_NEG.mzML Peak area,231010_NEG_B4.mzML Peak area,240417_NEG_B2.mzML Peak area,240417_NEG_B4.mzML Peak area,QC_mix_NEG_1.mzML Peak area,QC_mix_NEG_2.mzML Peak area,QC_mix_NEG_4.mzML Peak area,240417_NEG_B5.mzML Peak area,Process_Blank_1_NEG.mzML Peak area,QC_mix_NEG_3.mzML Peak area,240616_NEG_B0.mzML Peak area,Process_Blank_3_NEG.mzML Peak area,Process_Blank_2_NEG.mzML Peak area,240507_NEG_B3.mzML Peak area,240417_NEG_B6.mzML Peak area,240417_NEG_B1.mzML Peak area,240507_NEG_B1.mzML Peak area,240616_NEG_B3.mzML Peak area,240507_NEG_B5.mzML Peak area,240616_NEG_B2.mzML Peak area,240616_NEG_B1.mzML Peak area,Chance_pooled_QC_NEG_1.mzML Peak area,240616_NEG_B5.mzML Peak area,240616_NEG_B6.mzML Peak area,240616_NEG_B4.mzML Peak area,Chance_pooled_QC_NEG_3.mzML Peak area,Chance_pooled_QC_NEG_2.mzML Peak area,Chance_pooled_QC_NEG_4.mzML Peak area
46,362.9417539,0.5363118,,,,,,,,,,,1636104.5,1710494.8,1443162.2,1407794.9,1151255.4,1404134.6,1617600.4,1391599.5,1601404.6,841082.06,617495.6,985279.7,979737.8,1095491.1,1192661.9,745051.75,1184074.1,1895263.2,1159652.8,852476.4,710064.94,1050007.4,1123214.6,873972.1,1013367.8,927445.94,1362516,805795.5,943456.6,581816.06,846115.4,23796.12,5986.799,920676.5,7782.7207,1216244.4,5711.6816,25897.982,804615.3,572623.7,1150362.1,844680.2,1203346,1348401.6,678248.1,1125018.5,1314688.8,1194988.1,104000.43,87056.266,171733.14,812749.06,267220.94,85387.73,1356064.9,126454.25,243140.67,842955.9,1903056.1,1190816.4,1374750.5,1397353.9,1227894.8,1633327.4,1662574.5,1132881.9,1624484.2,1727188.2,1687252.2,1386708.2,1264323.4,1424883.5
110,397.8899475,0.53915465,,,,,,,,,,,26541.994,0,10004.102,15080.26,19373.41,11391.631,10039.814,0,10932.615,6041.138,12717.065,27864.078,18445.7,5737.6387,5858.215,0,2435.663,5647.0806,10854.366,3979.1426,45943.406,5850.2754,30673.936,14216.211,6112.9634,36182.184,53365.18,15238.171,16302.336,17451.764,24136.684,29064.668,15011.075,6400.0454,14728.98,10491.047,14701.022,53677.863,37530.52,24453.2,5648.2393,49365.4,0,13734.832,33770.297,3386.9165,26301.78,5845.8345,282824.3,261262.3,427210.75,19447.598,27330.201,282002,2420.2512,57451.023,67174.6,11644.201,0,4919.31,2708.1997,9620.184,52453.734,5846.843,60786.254,0,5767.3086,17786.703,30574.164,0,6665.5967,6912.8467
122,566.9052872,0.5390147,,,,,,,,,,,829117.5,770991.3,613490.56,631063.56,462929.16,627454.9,694518.5,738032.25,661631.06,341008.7,314412.66,436984.72,443669.53,464396.7,557656.6,317886.72,513771.5,838725.7,512553.84,368190.28,275029.06,449387.28,542254.2,356756.03,467897.72,458246.9,565826,399668.84,468135.7,277966.62,372534.06,5163.794,0,435807.56,0,585635.8,0,10510.64,425158.97,273001.03,482368,383959.34,513244.97,601880.6,371006.34,433440.7,581824.1,571155.2,22487.215,22075.574,38458.934,371556.12,154151.81,22732.002,725031.75,72459.26,65127.96,371481.22,830024.4,573864.4,604834.8,780165.4,536630.8,847303.6,861487.5,543631.56,839548,868958.06,833061,623593.4,629497.4,688249.2
150,634.893032,0.5396473,,,,,,,,,,,769776.7,734183.9,611330.06,603121.4,448486.2,603055.06,707995.06,756947,641957.56,320149.9,304934.53,388429.2,437124.6,441243.47,549983,298120.3,468256.88,760538.94,510985.12,347213.56,263446.7,473290.53,515790.2,326356.28,474003.16,381634.66,567491.6,370949.34,458478.5,270053.6,339816,4697.711,0,427061.97,0,522405.84,0,9548.227,423055.9,278113.75,482668.78,418201.12,494874.7,543062.25,372578.38,403618.94,581301.75,554303.56,15535.288,14167.875,30179.715,365166.62,167305.73,13519.5,704791.7,69989.836,150932.53,357689.22,818140.9,556633,580610.8,713452.6,520357.78,810564.5,841752,532340.8,849738.25,864284.6,798477.25,614837.94,601185.9,696535.56
151,288.9375899,0.5412667,,,,,,,,,,,219638.16,413596.38,330343.84,190302.73,688360.5,555278.9,234403.83,52570.516,825065.7,354285.28,73409.18,170249.88,171090,299898.94,201675.31,573916.3,552142.56,433817.44,378835.97,314134,382857.34,377039.78,182121.06,609985.4,107339.89,113219.766,318283.16,41672.254,144534.39,165560.8,111601.94,0,0,99414.52,0,93977.6,0,0,41133.87,97603.04,315377.6,32436.89,329952,200499.86,14674.837,379069.16,191428.1,253245.75,12169.735,0,0,169795.6,0,0,70416.42,0,12560.725,116218.61,493850.03,224702.56,308878.78,78706.664,200082.2,128448.68,115433.73,180360.5,79209.11,115046.74,116832.15,150976.28,154948.66,198215.69
190,702.8807728,0.53968465,,,,,,,,,,,727513.3,630480.4,519462.66,546158.75,376590.28,544535.7,615975.06,716652.4,544299.6,316122.7,278833.62,356909.56,374584.38,424491.6,471562.25,266475.3,384970.5,686051.5,427060.38,316341.53,226712.25,385022.56,469098.3,293850.38,414690.2,356386.97,456210.56,362244.06,423302.97,236905.73,314543.56,0,0,389011.72,0,474115,0,6105.726,382398.34,240325.81,405215.56,369291.16,459421.97,509812.47,347044,342821.88,534655.1,477068.88,9485.108,9307.507,20805.924,339357.9,131235.84,10947.7,627451.5,69081.33,146864.84,318465.88,724694.5,511449.84,530078.06,669509.44,463453.53,766095.1,784996.44,497231.97,804034.94,815208.06,752775.9,531112.75,535875.6,571800.5
523,394.8919536,0.54404646,,,,,,,,,,,69881.49,45974.383,59403.074,46974.68,49223.324,103514,53085.125,82874.84,23167.234,16135.811,96763.11,481027.22,90183.06,83181.36,28819.818,38959.03,65080.336,21898.676,72922.69,106299.15,38577.695,45419.97,60978.297,83495.72,128248.09,68604.62,28243.592,17244.492,35674.816,60001.65,63683.72,34914.562,73087.664,76570.75,35587.52,50615.5,31662.861,37051.176,50570.98,88231.06,52191.7,30858.762,56710.33,47541,57635.71,31550.521,73208.37,45082.047,47423.21,19200.055,15108.656,47530.5,122471.99,20074.879,17271.137,131590.75,174022.36,38825.9,30875.158,54871.047,36480.465,36449.37,43726.51,44484.26,25992.385,218817.69,56858.844,53218.758,21477.05,90797.79,63290.434,35084.297
592,386.9404937,0.54485947,,,,,,,,,,,48996.773,43700.125,73115.38,41674.742,11191.031,16417.438,38341.508,92028.47,77421.95,20426.47,6242.038,15928.184,34523.59,9330.94,17559.062,31937.63,10248.418,21631.582,31586.527,21294.814,14612.364,25495.926,20571.703,16299.782,23689.904,18476.77,18962.564,19525.996,21651.59,6769.07,3110.7085,0,0,18296.098,0,23842,0,0,7555.533,11971.209,12172.578,17588.076,13988.197,42795.258,18476.871,12297.76,49241.625,29682.932,0,0,0,20317.496,43066.766,0,51013.566,6640.767,22431.092,14065.828,67002.61,26303.404,31189.383,51808.77,22634.059,51114.637,44431.375,28090.984,40706.453,52564.098,42086.97,48284.242,28744.229,30889.252
628,180.9738442,0.5446059,,,,,,,,,,,419746.56,281803.1,79872.08,208191.61,436630,104666.13,296651.2,486756.8,300187.2,277279,41720.855,471464.03,37514,186271.16,170166.98,411958.75,37865.203,306060.44,285907.78,416814.75,182269.97,214163.89,160053.6,101551.68,174020.77,137512.58,100494.67,139482.86,165010,29503.605,238446.03,18215.107,19751.951,220564.42,24516.059,245181.58,19490.723,36924.832,98039.59,192165.14,254303.95,111707.82,285309.72,178395.22,114709.56,142330.48,186231.89,205681.64,28827.564,28841.174,37222.754,42945.586,399949.8,27490.926,378873.72,165934.44,82428.52,317580.28,234987.03,248591.33,225703.88,413515.97,400023.8,363640.97,250222.25,274458.3,353668.7,404945.88,352559.28,267309.66,252889.06,266775.3
776,316.9490814,0.55039793,,,,,,,,,,,3095714,2108607.2,1410939.9,1473034.8,1362595.9,1646790.6,1934815.9,4131667.5,1937875.1,1255385.5,1180132.2,974160.4,1278117.2,1484979.2,1312655.2,1133732.8,1267093.2,2178668,1475196.8,1285563.9,930200.94,1562103.4,1528105,1565220,1450882.9,1168347.5,1698377.4,1323940.6,1436619.9,854489.56,974379.5,93161.19,94982.69,1350893.5,113467.73,1619132.2,92090.875,191567.3,1049297.1,991446.6,979581.6,1042998.4,1368392.5,1677427.1,1090615.8,517237.12,1503467.2,1567075.1,93394.17,87722.28,93374.17,1126762,2651305.2,92775.59,2884178,1758771,1685298.9,1015270.25,2071999.8,1578974.9,1825348.1,2764416.8,1303405,2948868.8,2656115.2,1952824.1,2890174.2,3222992.5,2803456,1953773.4,1899273.1,1892791.8
787,248.9613864,0.5506824,,,,,,,,,,,1990651.6,1346279.6,932596.56,960809.9,895645.56,1063582.4,1261995.9,2576795.2,1228094.5,841683.25,761111.2,628525.3,879988.1,918879.4,868228.75,728805.2,799627.06,1374878.6,1019488.5,858682.8,668340.2,1007171.8,989160.06,1060829.6,919892.25,748590.94,1111847.8,850494.5,938966.8,586133.7,693522.94,72893.64,77836.17,924375.5,86685.25,1035921,74411.266,141207.16,670493.6,651822.5,663808.5,655161.3,889835.06,1098136.2,720989.94,374690.38,1032601.3,1052448.2,79127.47,84019.46,83797.25,727254.7,1666690.5,85009.54,1842266.8,1108346.9,1107016.1,675390.44,1370044.1,1091934.2,1191450.9,1747445.4,854638.44,1937358.4,1670236.9,1303985.9,1871488.9,2004928.6,1827029,1256112.6,1231098.8,1256554.4
792,384.9363184,0.5505179,,,,,,,,,,,2739779,1743560.8,1134405.6,1237403.4,1072543.6,1357714.8,1688277.9,3742735.5,1533905.8,1016466.56,968773.94,779894.5,1045540.2,1230813,1091826.8,890983.75,995649.56,1798588.1,1283169.5,1077144.4,726800,1235855.2,1256141.5,1246965.1,1181060.2,941296.8,1408311.6,1083161,1176145.8,674490.6,817521.56,67191.695,64326,1143956.8,83748.66,1318717.4,67505.78,147865.64,869228.56,804406.1,782816.4,922548.75,1105034.4,1384573.9,893413.25,402490.78,1268975.9,1280805.2,55758.77,49829.75,61980.48,916559.6,2426486.2,51727.734,2460608.8,1504953.1,1464995.9,842299.75,1808479.2,1367718.8,1516225.9,2502399.8,1045305.06,2485250.8,2198583.2,1661512.9,2601443.8,2788274.2,2431260,1681614.6,1598950,1627368.1
799,452.924165,0.55067825,,,,,,,,,,,3309965,2077291.4,1324090.2,1439948.9,1205018.6,1571054.8,1826817.1,4504098.5,1799519.1,1171898.2,1153529,904795.44,1152185.6,1433443.8,1243930.4,1011056.94,1154755.9,2085540.6,1465269.9,1198512.5,860414.75,1458602.2,1475225.8,1428509.9,1318711.6,1078392.5,1697068,1265111.9,1414717,743853.56,939807.94,64334.89,67868.81,1323833.6,87311.016,1511583.1,68436.53,131643.8,1040284.94,925061.8,912513.25,1085531.4,1282777.2,1628424.1,1060789.6,446343.28,1454206.4,1467020.5,48981.918,46590.605,56829.367,1032806.44,2993025.2,50112.016,2952084.5,1865966.9,1766247.8,950323.06,2102916.2,1570228.9,1698681.6,2913773.2,1217559.6,3039850,2601625.8,1916630.4,2995751,3465553.8,2942205.8,2010983.1,1836237.6,1889594.2
803,520.9120375,0.5505723,,,,,,,,,,,3753944.2,2352674,1485153.2,1626771.1,1405940.6,1766475.2,2131233.2,5310869,1922888.2,1325536,1286224.8,1042229.75,1305220.8,1610392.2,1445196.1,1150310,1264637.6,2370180,1701167.1,1403324.2,962973.2,1655332.2,1622852.5,1621898.5,1543737.5,1224977.8,1949071.9,1458616.6,1618827,847773.56,1076941.1,60642.727,61539.895,1483374.2,90912.375,1744061.1,65939.484,137628.48,1212862.2,1019429.44,1024618.6,1291009.6,1484559.4,1790504.4,1209937,502614.06,1621010.9,1743628,38244.938,40816.902,47952.41,1199569.2,3595640.2,40921.34,3499876.8,2234956.2,2129160.2,1103421.1,2395994.8,1799390.6,1914817.4,3386495.8,1395974.9,3682536.5,3054142.2,2251673.8,3550271.5,3964182.2,3402242.8,2253019.8,2100975.5,2186714.5
813,588.8998333,0.5505631,,,,,,,,,,,4284677,2636733.2,1634978.9,1820121.2,1511954.1,1926720.4,2300238.5,5955418.5,2049868.5,1415742.6,1463955,1138904.2,1393440.8,1790704,1601125.2,1209783.9,1410784.5,2617842.2,1852150.1,1506095.4,1030222.56,1800892.1,1756875,1783778.2,1665906.6,1365160.9,2090181.9,1600696,1772634.2,898497.3,1176308.2,61476.54,56386.18,1653666.4,91384.914,1928644.8,63566.27,156392.48,1361402,1146330.4,1090457,1442824.2,1599153.8,2021135.4,1402268.2,504511.66,1753861.5,1958295.4,36139.46,33730.42,36772.613,1324393.8,4255491,33896.023,3928356.2,2605389,2402056.5,1184080.4,2582500.8,1946964.4,2080433.9,3800249.8,1541665.8,4144294.2,3520249.8,2500669.8,3803253.2,4465909.5,3743864.5,2475215.8,2344303.2,2399269.5
833,656.8875743,0.55061466,,,,,,,,,,,3256770.8,1933215.8,1218569.1,1362840.4,1120083.9,1440416.2,1785778.8,4637299,1591535.8,1070060.4,1115647,822799.25,1055575.9,1395664.9,1188072.8,878093.25,1034144.44,1902330.5,1422179.1,1152892.4,717081.6,1308396.4,1373810.5,1396609.1,1266629,1027505.75,1472359.8,1172474.2,1384142.6,682187.2,891376.8,31510.473,31930.893,1181513.9,58532.043,1457082.4,38482.676,102520.67,996218.94,806633.2,806604.2,1084319.8,1236666.9,1588504.9,1094778.5,360877.88,1362420.6,1537229.9,15852.392,19214.213,21589.73,1009855.94,3499035.2,15075.668,2904607,2072118,1990966.6,890635.75,1926174.9,1518514.5,1552395.4,2907979.5,1161844.1,3110212.5,2609188.5,1883556.6,2892370,3310855.5,2892353,1971660.1,1801735.5,1892702.6
837,310.9321681,0.55424476,,,,,,,,,,,335328.03,302177.38,281516.28,286958.03,400870.38,359090.03,266692.97,129552.26,432222.47,306115.47,149709.94,139155.4,227461.19,237791.62,204755.48,292590.2,369097.4,331825.75,382805.8,270747.8,327515.88,385191.56,180981.44,409210.97,183117.8,202519.69,264829,234118.89,169224.38,205377.9,158208.69,0,0,202292.83,0,233864.55,0,0,23160.674,159515.88,191212.19,25558.19,235123.69,245301.84,14228.141,106022.766,218544.38,210394.88,0,0,0,207098.53,95651.94,0,173763.56,43323.22,121407.195,166748.02,290806.12,228130.23,261577.97,182608.1,190590.89,196373.55,208285.27,225399.17,199769.22,199492.64,192836,275194.47,259167.02,261824.05
858,826.8563877,0.5534168,,,,,,,,,,,674968.4,300900.78,158563.81,188723.31,128456.234,191399.31,261613.8,1381191.4,200120.3,124839.36,163592.02,72123.54,109227.88,176002.66,155816.6,86723.59,104251.66,271121.75,191321.89,123855.21,66759.91,152108.05,183002.17,178363.06,162333.22,122318.44,178214.25,178497.89,178065.14,62323.008,92505.5,0,0,166982.9,0,206858.34,0,0,159516.62,93425.8,75371.22,154241.14,133604.23,251434.61,163547.94,5985.875,157769.47,214126.81,0,0,0,127838.08,1106866.4,0,613476.56,619938.06,563491.25,95078.35,276375.2,196705.61,217566.66,689377.56,137978.67,735568.3,554734.6,319334.03,618040.9,747692.44,560260.4,328399.44,308186.5,282330.2
862,792.8629122,0.551142,,,,,,,,,,,2862529.2,1619600.1,1002981.9,1137834.4,862768.8,1211631.5,1485560.5,4501227.5,1282534.2,883430.94,937329.44,613501.8,817852.3,1113895.5,938761.9,783891.25,789978.4,1546374.9,1138075.9,920902.94,547700.9,1043481.5,1133837.4,1156339.6,1031057.75,836614.06,1210948.1,996685.44,1170487.5,527701.8,699736.8,15746.23,6223.0176,1007919.44,28980.602,1256180.8,17595.559,61061.73,864459.25,650629.94,648560,941978.9,1025587.94,1273036.9,934719.25,230858.31,1097911.8,1266279.1,3256.3708,2733.7012,5255.533,789122.2,3695863,3009.52,2692062.2,2108593,1953382.2,705065.9,1586922,1226705.6,1287224.2,2727569,936788.2,2768962,2406013.2,1609184,2526868,2987215,2593939,1632884.8,1580476.9,1518857
